ORG_Entity,Lemma_Entity,Suspicious,Lemma_Cleaned,Matched_Category
TBP,to_spraw,True,to_spraw,Other / Unclear
Krajowej Administracji Skarbowej,krajowy administracja skarbowy,False,krajowy administracja skarbowy,Government / Public Administration
ATCM,atcm,False,atcm,International Organization / EU
Zespół COLąd-DKL,zespół coląd - dolagnpik,False,zespół coląd - dolagnpik,Other / Unclear
Naczelnego Sadu Administracyjnego,naczelny sadu administracyjny,False,naczelny sadu administracyjny,Government / Public Administration
Grupy Wyszehradzkiej,grupa wyszehradzka,False,grupa wyszehradzka,Company / Business
PRz,pra1,False,pra1,Other / Unclear
Moodle,moodle,False,moodle,Company / Business
Fundacja,fundacja,False,fundacja,NGO / Association / Foundation
Krakowskiej Szkoły Kompozytorskiej,krakowski szkoła kompozytorska,False,krakowski szkoła kompozytorska,Education (non-university)
CIECH,ciech,False,ciech,Company / Business
Centrum Transferu Technologii,centrum transfer technologia,False,centrum transfer technologia,Company / Business
Ministerstwa Kultury Estonii,ministerstwo kultura estonia,False,ministerstwo kultura estonia,Government / Public Administration
"Ministerstwa Pracy, Rozwoju i Technologii","ministerstwo praca , rozwój i technologia",False,"ministerstwo praca , rozwój i technologia",Government / Public Administration
IAA,iaa,False,iaa,Other / Unclear
New York Philharmonic,new york philharmonic,False,new york philharmonic,Cultural Institution / Arts
Polwet-Centrowet,polwet - centrowet,False,polwet - centrowet,Company / Business
Europejskiej Organizacji ds. Zwierząt Laboratoryjnych,europejski organizacja do_spraw . zwierzę laboratoryjny,True,europejski organizacja ds. zwierzę laboratoryjny,International Organization / EU
Polskim Towarzystwem Nadciśnienia Tętniczego,polski towarzystwo nadciśnienie tętniczy,False,polski towarzystwo nadciśnienie tętniczy,NGO / Association / Foundation
Polski Bank Zależnościowy,polski bank zależnościowy,False,polski bank zależnościowy,Company / Business
Bauer Media,bauer media,False,bauer media,Media / Publishing
Polskiego Towarzystwa Neurologicznego Szczecin,polski towarzystwo neurologiczny szczecin,False,polski towarzystwo neurologiczny szczecin,NGO / Association / Foundation
Ministerstwie Cyfryzacji,ministerstwo cyfryzacja,False,ministerstwo cyfryzacja,Government / Public Administration
Sekcji Onomastycznej,sekcja onomastyczna,False,sekcja onomastyczna,Other / Unclear
Wojewódzkiego Sądu Administracyjnego w Krakowie,wojewódzki sąd administracyjny w krakowie,False,wojewódzki sąd administracyjny w krakowie,Government / Public Administration
DSK,dok,False,dok,Health / Hospitals / Medical
Chidusz,chidusz,False,chidusz,Media / Publishing
NKJP,nad_pota,True,nad_pota,Other / Unclear
Polskiego Towarzystwa Diabetologicznego,polski towarzystwo diabetologiczny,False,polski towarzystwo diabetologiczny,NGO / Association / Foundation
Wp.pl,wp.pl,True,wp.pl,Media / Publishing
Galeria Sztuki im. J. Tarasina,galeria sztuka on . j . tarasina,False,galeria sztuka on . j . tarasina,Cultural Institution / Arts
Komitet Regionów,komitet region,False,komitet region,International Organization / EU
Okresného úradu Liptovský Mikuláš,okresného úrad liptovský mikula š,False,okresného úrad liptovský mikula š,Government / Public Administration
Frisco,frisco,False,frisco,Company / Business
Wojsku Polskim,wojsko polski,False,wojsko polski,Military / Defense / Security
Komisji UE,komisja uet,False,komisja uet,Government / Public Administration
Gazeta.pl,gazeta.pl,True,gazeta.pl,Media / Publishing
SMGP,sMo,False,sMo,NGO / Association / Foundation
CNJP,conpyciocyna,False,conpyciocyna,Other / Unclear
INT UP,intymet upoty,False,intymet upoty,Other / Unclear
Muzeum Śląskim,muzeum śląski,False,muzeum śląski,Cultural Institution / Arts
RPD,rok,False,rok,Government / Public Administration
WBGS,wysk_piptap,True,wysk_piptap,Media / Publishing
NSF,na_patyka,True,na_patyka,Government / Public Administration
Farm Animal Welfare Committee,farm animal welfare committee,False,farm animal welfare committee,Government / Public Administration
Centralnego Biura Śledczego Policji,centralny biuro śledczy policja,False,centralny biuro śledczy policja,Military / Defense / Security
Dr Green,doktor green,False,doktor green,Company / Business
Polską Macierz Szkolną,polski macierz szkolna,False,polski macierz szkolna,Education (non-university)
Szczecin International School,szczecin international school,False,szczecin international school,International Organization / EU
Krajowym Ośrodku Bilansowania i Zarządzania Emisjami,krajowy ośrodek bilansować i zarządzanie emisja,False,krajowy ośrodek bilansować i zarządzanie emisja,Government / Public Administration
Zakładami Automatyki KOMBUD,zakład automatyka kombud,False,zakład automatyka kombud,Company / Business
KW Czatkowice,kwadratowy czatkowice,False,kwadratowy czatkowice,Company / Business
Teatru im. J. Słowackiego,teatr on . j . słowacki,False,teatr on . j . słowacki,Cultural Institution / Arts
Skoliort,skoliort,False,skoliort,Company / Business
Grupy Badawczej Prawa Usług Cyfrowych,grupa badawczy prawo usługa cyfrowy,False,grupa badawczy prawo usługa cyfrowy,Company / Business
SDR,sąrtep,False,sąrtep,Other / Unclear
PF Terpol,pf terpol,False,pf terpol,Government / Public Administration
UE/EOG,uet /eog,True,uet /eog,International Organization / EU
ENEA Operator,enea operator,False,enea operator,Company / Business
Europejską Agencję Leków,europejską agencja lek,False,europejską agencja lek,International Organization / EU
WAPP,wapp,False,wapp,Other / Unclear
Lech Poznań,lech poznań,False,lech poznań,Company / Business
UEW,uew,False,uew,International Organization / EU
CMPF,cmoce,False,cmoce,International Organization / EU
Discovery Chanel,discovery chanel,False,discovery chanel,Media / Publishing
DAAA,daaa,False,daaa,Other / Unclear
Fundacją EFQM,fundacją efqm,False,fundacją efqm,NGO / Association / Foundation
Alstroma,alstroma,False,alstroma,Health / Hospitals / Medical
Regulatory Affairs Professional Society,regulatory affairs professional society,False,regulatory affairs professional society,NGO / Association / Foundation
ATLIBRON,atlibron,False,atlibron,Company / Business
KPDCE,kpdce,False,kpdce,Other / Unclear
Center,center,False,center,Other / Unclear
Microsoft,microsoft,False,microsoft,Company / Business
Dyrekcję Generalną Lasów Państwowych,dyrekcja generalna las państwowy,False,dyrekcja generalna las państwowy,Government / Public Administration
INIG-PIB,inig - pib,False,inig - pib,Other / Unclear
Unii,unia,False,unia,International Organization / EU
DiaSorin,diasorin,False,diasorin,Company / Business
Bank,bank,False,bank,Other / Unclear
Departament,departament,False,departament,Other / Unclear
ZOETIS,zoetis,False,zoetis,Company / Business
Radę Sektorową,rada sektorowy,False,rada sektorowy,Government / Public Administration
Inst. Gruźlicy,init . gruźlica,False,init . gruźlica,Health / Hospitals / Medical
CA WAT,ca wat,False,ca wat,Other / Unclear
Filharmonia Łódzka,filharmonia łódzki,False,filharmonia łódzki,Cultural Institution / Arts
Tamax,tamax,False,tamax,Company / Business
UM Krakowa,um krakowa,False,um krakowa,Other / Unclear
WNoB KA AFM,wnob ka afm,False,wnob ka afm,Media / Publishing
Biblioteka UW,biblioteka uw,False,biblioteka uw,Education (non-university)
Departament Systemu Płatniczego NBP,departament system płatniczy na_tem_tybemi,True,departament system płatniczy na_tem_tybemi,Government / Public Administration
SOPO,sopo,False,sopo,Government / Public Administration
Generalna Dyrekcja Ochrony środowiska,generalna dyrekcja ochrona środowisko,False,generalna dyrekcja ochrona środowisko,Government / Public Administration
Rady Pomocy Społecznej MRiPS,rada pomoc społeczny mrips,False,rada pomoc społeczny mrips,Government / Public Administration
EMSA,emies,False,emies,International Organization / EU
COBORU,cobór,False,cobór,Government / Public Administration
Fundacja Autonomia,fundacja autonomia,False,fundacja autonomia,NGO / Association / Foundation
Straży Gminnych,straż gminny,False,straż gminny,Military / Defense / Security
Polsat Rodzina,polsat rodzina,False,polsat rodzina,Media / Publishing
Raidel,raidel,False,raidel,Other / Unclear
Violin Channel,violin channel,False,violin channel,Media / Publishing
WUP,wup,False,wup,Other / Unclear
Szkole Lwowsko-Warszawskiej,szkoła lwowsko - warszawski,False,szkoła lwowsko - warszawski,Education (non-university)
INoK,inok,False,inok,Other / Unclear
SAK,sak,False,sak,NGO / Association / Foundation
AM Gdańsk,be gdańsk,False,be gdańsk,Other / Unclear
ZM OLEWNIK,zmięt_zyk olewnik,True,zmięt_zyk olewnik,Company / Business
Urząd Marszałkowski WZ,urząd marszałkowski wz,False,urząd marszałkowski wz,Government / Public Administration
RAWAGiem,rawagie,False,rawagie,Company / Business
Orlen Południe,orlen południe,False,orlen południe,Company / Business
Times of Israel,times of israel,False,times of israel,Media / Publishing
Helsińskiej Fundacji Praw Człowieka,helsińska fundacja prawo człowiek,False,helsińska fundacja prawo człowiek,NGO / Association / Foundation
NIKARD,nikard,False,nikard,Company / Business
Bukaresztańska Dziewiątka,bukaresztańska dziewiątka,False,bukaresztańska dziewiątka,International Organization / EU
KochH&K/Alpine Metal,ko &k/alpine metal,False,ko &k/alpine metal,Company / Business
Mostostal,mostostal,False,mostostal,Company / Business
Wielkiej Orkiestry Świątecznej Pomocy,wielki orkiestra świąteczna pomoc,False,wielki orkiestra świąteczna pomoc,NGO / Association / Foundation
EIT RawMaterials,eit rawmaterials,False,eit rawmaterials,International Organization / EU
Recevent Sp. z o.o.,recevent sa . z ograniczona_odpowiedzialność .,True,recevent s.a. z o.o.,Company / Business
Actia Forum,actia forum,False,actia forum,Company / Business
Gedenkstätte Andreasstraße,gedenkstätte andreasstraße,False,gedenkstätte andreasstraße,Cultural Institution / Arts
ANDRE ABRASIVE ARTICLES Sp. z o.o.,andre abrasive articles sa . z ograniczona_odpowiedzialność .,True,andre abrasive articles s.a. z o.o.,Company / Business
Fundacji Prodoteo,fundacja prodoteo,False,fundacja prodoteo,NGO / Association / Foundation
MNiSW,mno,False,mno,Government / Public Administration
Związku Powiatów Polskich,związek powiat polski,False,związek powiat polski,Government / Public Administration
RBO,rbo,False,rbo,Other / Unclear
Teatru Partycypacyjnego,teatr partycacacyjny,False,teatr partycacacyjny,Cultural Institution / Arts
Technodar,technodar,False,technodar,Company / Business
CSW ELEKTROWNIA,ci_ elektrownia,True,ci_ elektrownia,Cultural Institution / Arts
Mikromed,mikromed,False,mikromed,Company / Business
Tauron Dystrybucja S.A.,tauron dystrybucja s.a .,False,tauron dystrybucja s.a.,Company / Business
UNESCO ETICO,unesco etico,False,unesco etico,International Organization / EU
Książnicy Beskidzkiej,książnica beskidzko,False,książnica beskidzko,Other / Unclear
OBWE,obwa,False,obwa,International Organization / EU
WIChiR,wichir,False,wichir,Other / Unclear
Łódzką Filmówką,łódzka filmówką,False,łódzka filmówką,Other / Unclear
Rada Generalna,rada generalna,False,rada generalna,Government / Public Administration
INTERMAG,intermag,False,intermag,Company / Business
INTERREG,interreg,False,interreg,International Organization / EU
Centrum Doktryn i Szkolenia Sił Zbrojnych RP,centrum doktryna i szkolenie siła zbrojny roktóry,False,centrum doktryna i szkolenie siła zbrojny rp,Government / Public Administration
GCM Ochojec,go_ ochojec,True,go_ ochojec,Health / Hospitals / Medical
Wolters Kluwer,wolters kluwer,False,wolters kluwer,Company / Business
PARP,parpycpa,False,parpycpa,Government / Public Administration
ALIEN,alien,False,alien,Other / Unclear
GEON,geon,False,geon,Company / Business
Silesian Greenpower,silesian greenpower,False,silesian greenpower,Other / Unclear
KOROUN,koroun,False,koroun,Other / Unclear
Emaus,emaus,False,emaus,Religious Organization
Urząd Marszałkowski Województwa Lubuskiego,urząd marszałkowski województwo lubuski,False,urząd marszałkowski województwo lubuski,Government / Public Administration
Elektromasz,elektromasz,False,elektromasz,Company / Business
Fundacja La Strada,fundacja la strada,False,fundacja la strada,Government / Public Administration
PGE Polska Grupa Energetyczna S.A.,pa polski grupa energetyczna s.a .,False,pa polski grupa energetyczna s.a.,Company / Business
Zespołu Doradczego ds. Kryzysu Klimatycznego,zespół doradcze do_spraw . kryzys klimatyczne,True,zespół doradcze ds. kryzys klimatyczne,Government / Public Administration
Nynas,nynas,False,nynas,Company / Business
Pionu Zatrudnienia i Rynku Pracy,pion zatrudnienie i rynek praca,False,pion zatrudnienie i rynek praca,Government / Public Administration
Fundacji IPSO ORDO,fundacja ipso ordo,False,fundacja ipso ordo,NGO / Association / Foundation
Biura Wystaw Artystycznych,biuro wystawa artystyczny,False,biuro wystawa artystyczny,Cultural Institution / Arts
WNoZiKŚ,wnozikś,False,wnozikś,Other / Unclear
Główny Inspektorat Sanitarny,główny inspektorat sanitarny,False,główny inspektorat sanitarny,Government / Public Administration
EPTA,epta,False,epta,Company / Business
Głównym Inspektoratem Weterynarii,główny inspektorat weterynaria,False,główny inspektorat weterynaria,Government / Public Administration
ACR,acr,False,acr,Other / Unclear
Transgranicznego Wirtualnego Centrum Informacji,transgraniczny wirtualny centrum informacja,False,transgraniczny wirtualny centrum informacja,International Organization / EU
Jednostek Centrum Usług Wspólnych,jednostka centrum usługa wspólny,False,jednostka centrum usługa wspólny,Government / Public Administration
LSJiKP,lsjkp,False,lsjkp,Other / Unclear
WGUW,wguw,False,wguw,Other / Unclear
Biblioteki Miejskiej,biblioteka miejski,False,biblioteka miejski,Education (non-university)
Partnerstwa Wschodniego,partnerstwo wschodni,False,partnerstwo wschodni,International Organization / EU
ARPA-E,arpa- e,True,arpa- e,Government / Public Administration
Kancelarii Senatu Rzeczpospolitej Polskiej,kancelaria senat rzeczpospolita polski,False,kancelaria senat rzeczpospolita polski,Government / Public Administration
Copernicus Atmospheric Monitoring Services,copernicus atmospheric monitoring services,False,copernicus atmospheric monitoring services,International Organization / EU
KOM,komendant,False,komendant,Other / Unclear
TFK,to_sppaw,True,to_sppaw,Company / Business
EFSA,efsa,False,efsa,International Organization / EU
SAS ESCMID,sas escmid,False,sas escmid,NGO / Association / Foundation
Ministerstwa Zdrowia,ministerstwo zdrowie,False,ministerstwo zdrowie,Government / Public Administration
RZHOiK,rzhoik,False,rzhoik,Other / Unclear
Zarządu Wojsk Inżynieryjnych,zarząd wojsko inżynieryjny,False,zarząd wojsko inżynieryjny,Military / Defense / Security
Weekendavisen,weekendavisen,False,weekendavisen,Media / Publishing
Urząd Miasta Płock,urząd miasto płock,False,urząd miasto płock,Government / Public Administration
ALEUS,aleus,False,aleus,Company / Business
Geotermia Poddębice,geotermia poddębice,False,geotermia poddębice,Company / Business
Teatr Nowy,teatr nowy,False,teatr nowy,Cultural Institution / Arts
RFM FM,rok fektometr_pici,True,rok FM,Media / Publishing
Lasy Wojskowe,las wojskowy,False,las wojskowy,Military / Defense / Security
Focus,focus,False,focus,Media / Publishing
PISCIS,piscis,False,piscis,Other / Unclear
Centrum Polsko-Rosyjskiego Dialogu i Porozumienia,centrum polski - rosyjski dialog i porozumienie,False,centrum polski - rosyjski dialog i porozumienie,Government / Public Administration
BHH Mikrohuta,bhh mikrohut,False,bhh mikrohut,Company / Business
Mosslab,mosslab,False,mosslab,Company / Business
Europejskiej Agencji Bezpieczeństwa Lotniczego,europejski agencja bezpieczeństwo lotniczy,False,europejski agencja bezpieczeństwo lotniczy,Military / Defense / Security
ChM sp. z o.o.,chm sa . z ograniczona_odpowiedzialność .,True,chm s.a. z o.o.,Company / Business
Rady Forum Gdańskiego Forum Zmian Klimatu,rada forum gdański forum zmiana klimat,False,rada forum gdański forum zmiana klimat,Government / Public Administration
Deutsche Bundesbank,deutsche bundesbank,False,deutsche bundesbank,Government / Public Administration
Wojewódzki Sąd Administracyjny,wojewódzki sąd administracyjny,False,wojewódzki sąd administracyjny,Government / Public Administration
EUROPOLU,europol,False,europol,International Organization / EU
IPCN,iptno,False,iptno,Other / Unclear
Europejskiego Centrum Koordynacji Reagowania Kryzysowego,europejski centrum koordynacja reagować kryzysowy,False,europejski centrum koordynacja reagować kryzysowy,International Organization / EU
Energa,energa,False,energa,Company / Business
Klaster Zielona Chemia,klaster zielony chemia,False,klaster zielony chemia,Company / Business
Muzeum Śląskiego,muzeum śląski,False,muzeum śląski,Cultural Institution / Arts
Państwowego Gospodarstwa Wodnego Wody Polskie,państwowy gospodarstwo wodny woda polski,False,państwowy gospodarstwo wodny woda polski,Government / Public Administration
AM Łódź,be łódź,False,be łódź,Other / Unclear
Centralną Komisję Egzaminacyjną,centralna komisja egzaminacyjną,False,centralna komisja egzaminacyjną,Government / Public Administration
Biura Pełnomocnika Rządu do Spraw Osób Niepełnosprawnych,biuro pełnomocnik rząd do sprawa osoba niepełnosprawny,False,biuro pełnomocnik rząd do sprawa osoba niepełnosprawny,Government / Public Administration
Kompetenz- und Koordinationszentrum Polnisch,kompetenz- undyp koordinationszentrum polnisch,False,kompetenz- undyp koordinationszentrum polnisch,International Organization / EU
Cornet,cornet,False,cornet,Other / Unclear
Biuro Analiz Sejmowych,biuro analiza sejmowy,False,biuro analiza sejmowy,Government / Public Administration
Krajowej Grupy Doradczej,krajowy grupa doradcze,False,krajowy grupa doradcze,Government / Public Administration
CKUM,ckum,False,ckum,Education (non-university)
NCEŻ,nceż,False,nceż,Government / Public Administration
Organu Doradczego Zarządu PZSN,organ doradcze zarząd podnopip,False,organ doradcze zarząd podnopip,NGO / Association / Foundation
Wageningen UR,wageningen uż,False,wageningen uż,Other / Unclear
Inspekcję Sanitarną,inspekcja sanitarną,False,inspekcja sanitarną,Government / Public Administration
Instytucie Sztuk Wizualnych,instytut sztuka wizualny,False,instytut sztuka wizualny,Cultural Institution / Arts
MOSTOSTAL,mostostal,False,mostostal,Company / Business
Angionica Sp. z o.o.,angionica sa . z ograniczona_odpowiedzialność .,True,angionica s.a. z o.o.,Company / Business
KAAFM,kaafm,False,kaafm,Media / Publishing
TDJ-Estate,to_jny_ina - estate,True,to_jny_ina - estate,Company / Business
Ministerstwa Aktywów Państwowych,ministerstwo aktywa państwowy,False,ministerstwo aktywa państwowy,Government / Public Administration
Advanced Robotic Engineering,advanced robotic engineering,False,advanced robotic engineering,Company / Business
WWF Polska,wwfędzwa polski,False,wwfędzwa polski,International Organization / EU
PIT-RADWAR,pit - radwar,False,pit - radwar,Military / Defense / Security
Rossman,rossman,False,rossman,Company / Business
PWN,pod_wypiomen,True,pod_wypiomen,Media / Publishing
PISM,pismo,False,pismo,Government / Public Administration
MCC,mcc,False,mcc,Company / Business
Les Arts Florissants,les art_eg florissants,True,les art_eg florissants,Cultural Institution / Arts
Idea Center,idea center,False,idea center,Company / Business
Filharmonia,filharmonia,False,filharmonia,Cultural Institution / Arts
Reading Religion,reading religion,False,reading religion,Media / Publishing
Agencją Rozwoju Przemysłu,agencją rozwój przemysł,False,agencją rozwój przemysł,Government / Public Administration
Krajowa Komisja Etyczna,krajowy komisja etyczna,False,krajowy komisja etyczna,Government / Public Administration
Polskiego Komitetu Normalizacji,polski komitet normalizacja,False,polski komitet normalizacja,Government / Public Administration
Stowarzyszeniem Odra – Niemen,stowarzyszenie odra – niemen,False,stowarzyszenie odra – niemen,NGO / Association / Foundation
CERME,cerme,False,cerme,Other / Unclear
EPAAC,epaac,False,epaac,International Organization / EU
Fundację Szansa dla Niewidomych,fundacja szansa dla niewidomych,False,fundacja szansa dla niewidomych,NGO / Association / Foundation
NCBR,nibroniczy,False,nibroniczy,Government / Public Administration
Teatr Wielki,teatr wielki,False,teatr wielki,Cultural Institution / Arts
Sądu Rejonowego Wrocławia,sąd rejonowy wrocławia,False,sąd rejonowy wrocławia,Government / Public Administration
Walcownia Metali Dziedzice S.A.,walcownia metal dziedzice s.a .,False,walcownia metal dziedzice s.a.,Company / Business
Śląskiego Związku Gmin i Powiatów,śląski związek gmina i powiat,False,śląski związek gmina i powiat,Government / Public Administration
"Klinice Gastroenterologii, Hepatologii i Onkologii Klinicznej","klinika gastroenterologia , hepatologia i onkologii kliniczna",False,"klinika gastroenterologia , hepatologia i onkologii kliniczna",Health / Hospitals / Medical
Pracodawcy Lubelszczyzny „Lewiatan,pracodawca lubelszczyzny „ lewiatan,False,pracodawca lubelszczyzny „ lewiatan,NGO / Association / Foundation
Rada Budowy Okrętów,rada budowa okręt,False,rada budowa okręt,Government / Public Administration
Radiu Jasna Góra,radio jasny góra,False,radio jasny góra,Media / Publishing
Komisji Rolnictwa i Rozwoju Wsi Sejmu RP,komisja rolnictwo i rozwój wieś sejm roktóry,False,komisja rolnictwo i rozwój wieś sejm rp,Government / Public Administration
Redemptoris Missio,redemptoris missio,False,redemptoris missio,Religious Organization
Komisji Mniejszości Narodowych i Etnicznych,komisja mniejszość narodowy i etniczny,False,komisja mniejszość narodowy i etniczny,Government / Public Administration
Bibliotekę Miejską,biblioteka miejski,False,biblioteka miejski,Education (non-university)
Radpoint,radpoint,False,radpoint,Company / Business
WP UW,wodtwet uw,False,wodtwet uw,Other / Unclear
ITC PW,it_cetytyt pod_wezwaniem,True,it_cetytyt pod_wezwaniem,Other / Unclear
GL Optic,garpóp optic,False,garpóp optic,Government / Public Administration
MIP,mipist,False,mipist,Other / Unclear
Forum Inicjatyw Rozwojowych Europejskiego Funduszu Rozwoju Wsi Polskiej,forum inicjatywa rozwojowy europejski fundusz rozwój wieś polski,False,forum inicjatywa rozwojowy europejski fundusz rozwój wieś polski,International Organization / EU
KGHM „Polska Miedź” S.A.,kghm „ polski miedź ” s.a .,False,kghm „ polski miedź ” s.a.,Company / Business
Generalna Dyrekcja Dróg Krajowych i Autostrad,generalna dyrekcja droga krajowy i autostrada,False,generalna dyrekcja droga krajowy i autostrada,Government / Public Administration
ZWD,zięty,False,zięty,Education (non-university)
PTN,piedzwyty,False,piedzwyty,NGO / Association / Foundation
SensDX S.A.,sensdx s.a .,False,sensdx s.a.,Company / Business
AICA,aica,False,aica,Company / Business
COLąd,coląd,False,coląd,Military / Defense / Security
Joint Chiefs of Staff,joint chiefs of staff,False,joint chiefs of staff,Other / Unclear
PLK S.A,plk s.a,True,plk s.a,Company / Business
SKBM,senmo,False,senmo,Health / Hospitals / Medical
Polskiego Towarzystwa Epidemiologów i Lekarzy Chorób Zakaźnych,polski towarzystwo epidemiolog i lekarz choroba zakaźny,False,polski towarzystwo epidemiolog i lekarz choroba zakaźny,NGO / Association / Foundation
PEMC,pemc,False,pemc,Other / Unclear
Ochotniczej Straży Pożarnej,ochotniczejie straż pożarny,False,ochotniczejie straż pożarny,Military / Defense / Security
Szkoły Da Vinci,szkoła dać vinti,False,szkoła dać vinti,Education (non-university)
Szkoły Filmowej w Łodzi,szkoła filmowy w łódź,False,szkoła filmowy w łódź,Education (non-university)
INO,ino,False,ino,Other / Unclear
MRIRW,mrirzy,False,mrirzy,Government / Public Administration
Papieska Rada ds. Kultury,papieska rada do_spraw . kultura,True,papieska rada ds. kultura,Government / Public Administration
Muebleconfort,muebleconfort,False,muebleconfort,International Organization / EU
Komitetu Standardów Rachunkowości,komitet standard rachunkowości,False,komitet standard rachunkowości,Government / Public Administration
Ad Moto,ad moto,False,ad moto,Company / Business
I LO,i lo,False,i lo,Education (non-university)
Morski Oddział SG,morski oddział sodyty_umem,True,morski oddział sodyty_umem,Military / Defense / Security
BHMW,bomwa,False,bomwa,Military / Defense / Security
E-Mito,e - mito,True,e - mito,Health / Hospitals / Medical
MRiRW,mrirzy,False,mrirzy,Government / Public Administration
Zespołu ds. Polityki Historycznej,zespół do_spraw . polityka historyczny,True,zespół ds. polityka historyczny,Government / Public Administration
ENERGA SA,energa sa,False,energa sa,Company / Business
ITF,i_tym_podobne,True,i_tym_podobne,International Organization / EU
IKP UW,ik_ uw,True,ik_ uw,Other / Unclear
Nord Emporium,nordzinia emporium,False,nordzinia emporium,Company / Business
Europejskiej Agencji Leków,europejski agencja lek,False,europejski agencja lek,International Organization / EU
RRK,rok,False,rok,Other / Unclear
Krajowej Komisji Etycznej do spraw Doświadczeń na Zwierzętach,krajowy komisja etyczna do sprawa doświadczenie na zwierzę,False,krajowy komisja etyczna do sprawa doświadczenie na zwierzę,Government / Public Administration
KGHM PM S.A.,kghm pilącyc s.a .,False,kghm pilącyc s.a.,Company / Business
EBMT,ebmt,False,ebmt,Health / Hospitals / Medical
Fund. Indie Games Polska,fund . indie games polski,False,fund . indie games polski,NGO / Association / Foundation
Tesco,tesco,False,tesco,Company / Business
Europejską Fundację na Rzecz Poprawy Warunków Życia i Pracy,europejską fundacja na rzecz poprawa warunki życie i praca,False,europejską fundacja na rzecz poprawa warunki życie i praca,NGO / Association / Foundation
KGHM Zakłady Górnicze Lubin,kghm zakład górnicze lubin,False,kghm zakład górnicze lubin,Company / Business
ELBIT,elbit,False,elbit,Company / Business
Muzeum Miasta Łodzi,muzeum miasto łódź,False,muzeum miasto łódź,Government / Public Administration
Centralnej Bazy Orzeczeń Sądów Administracyjnych,centralny baza orzeczenie sąd administracyjny,False,centralny baza orzeczenie sąd administracyjny,Government / Public Administration
Zakon Karmelitów Bosych,zakon karmelit bose,False,zakon karmelit bose,Religious Organization
EDUMARK,edumark,False,edumark,Company / Business
Danfoss,danfoss,False,danfoss,Company / Business
KIOD,kiod,False,kiod,Other / Unclear
Advanced Graphene Product S.A.,advanced graphene product s.a .,False,advanced graphene product s.a.,Company / Business
IUNG,iung,False,iung,Other / Unclear
Ministerstwa Kultury Edukacji i Sportu,ministerstwo kultura edukacja i sport,False,ministerstwo kultura edukacja i sport,Government / Public Administration
URB TOPOLSCY,urba topolscy,False,urba topolscy,Other / Unclear
Natural resources & Environmental Effects,natural resources & environmental effects,False,natural resources & environmental effects,Education (non-university)
Boston Symphony Orchestra,boston symphony orchestra,False,boston symphony orchestra,Cultural Institution / Arts
GTN-G,go_ -ektag,True,go_ -ektag,Other / Unclear
Express Bydgoski,express bydgoski,False,express bydgoski,Media / Publishing
Biura Ruchu Drogowego KGP,biuro ruch drogowy kiliądd,False,biuro ruch drogowy kiliądd,Government / Public Administration
Rady do Spraw Estetyki,rada do sprawa estetyka,False,rada do sprawa estetyka,Government / Public Administration
Wytwórnia Filmowa „Russkij put,wytwórnia filmowa „ russkij put,False,wytwórnia filmowa „ russkij put,Cultural Institution / Arts
PTK,pułkownik,False,pułkownik,NGO / Association / Foundation
Nichia,nichia,False,nichia,Company / Business
Centrum ds. Zdarzeń Radiacyjnych PAA,centrum do_spraw . zdarzenie radiacyjny paa,True,centrum ds. zdarzenie radiacyjny paa,Government / Public Administration
MIR-PIB,mir-pib,True,mir-pib,Other / Unclear
Visum Clinic,visum clinic,False,visum clinic,Health / Hospitals / Medical
IGC,incym_podoba,True,incym_podoba,Company / Business
HeidelbergCement AG,heidelbergcement ag,False,heidelbergcement ag,Company / Business
Rada ds. Handlu Usługami,rada do_spraw . handel usługa,True,rada ds. handel usługa,Government / Public Administration
Instytucie Niskich Temperatur,instytut niski temperatura,False,instytut niski temperatura,Other / Unclear
Scania,scania,False,scania,Company / Business
Polskie Towarzystwo Neonatologiczne,polski towarzystwo neonatologiczne,False,polski towarzystwo neonatologiczne,NGO / Association / Foundation
PKP PLK S.A.,podpata plk s.a .,False,podpata plk s.a.,Company / Business
REPROPOL-u,repropol,False,repropol,NGO / Association / Foundation
SOLHOTAIR,solhotair,False,solhotair,International Organization / EU
Semperoper,semperoper,False,semperoper,Cultural Institution / Arts
ŁYF,łyfszyt,False,łyfszyt,Other / Unclear
ZSZA,zsza,False,zsza,Education (non-university)
Avio Aero GE Aviation Business,avio aero ge aviation business,False,avio aero ge aviation business,Company / Business
Muzeum Piśmiennictwa i Drukarstwa,muzeum piśmiennictwo i drukarstwo,False,muzeum piśmiennictwo i drukarstwo,Cultural Institution / Arts
ECP,ecpywnapiony,False,ecpywnapiony,Other / Unclear
Safran,safran,False,safran,Company / Business
IHW,ihw,False,ihw,Other / Unclear
EDO,edo,False,edo,Other / Unclear
Narodowego Banku Gruzji,narodowy bank gruzja,False,narodowy bank gruzja,Government / Public Administration
ICHPW,ichzw_pypiomie,True,ichzw_pypiomie,Other / Unclear
Polskim Towarzystwem Diagnostyki Laboratoryjnej,polski towarzystwo diagnostyka laboratoryjny,False,polski towarzystwo diagnostyka laboratoryjny,NGO / Association / Foundation
Związek Pracodawców Branży Internetowej IAB Polska,związek pracodawca branża internetowy iab polski,False,związek pracodawca branża internetowy iab polski,Company / Business
